,year,Unnamed: 0.1,movieId,tagId,relevance,tag,Unnamed: 0,title,genres,imdbId,tmdbId,number of ratings,rating,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,(no genres listed),class
7808,2008,9218,57534,849,0.99625,remake,12098,"Eye, The (2008)",Drama|Horror|Thriller,406759,9030.0,424,2.6214622641509435,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
640,1995,714,787,205,0.90175,china,771,"Gate of Heavenly Peace, The (1995)",Documentary,113147,52059.0,81,3.753086419753086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
9365,2012,11092,96281,969,0.993,stop motion,18345,ParaNorman (2012),Adventure|Animation|Comedy,1623288,77174.0,1158,3.4503454231433506,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5468,2003,6256,7148,1014,0.91425,teen movie,7023,Love Don't Cost a Thing (2003),Drama|Romance,337592,21542.0,95,2.668421052631579,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3974,1980,4448,4934,1082,0.9985,vigilante,4828,"Exterminator, The (1980)",Action|Crime|Thriller|War,80707,37835.0,126,2.6507936507936507,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3
2847,2000,3184,3555,1126,0.977,wwii,3456,U-571 (2000),Action|Thriller|War,141926,3536.0,6844,3.32999707773232,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
4000,2001,4476,4963,498,0.99725,heist,4857,Ocean's Eleven (2001),Crime|Thriller,240772,161.0,31775,3.80918961447679,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
11701,2018,13557,187595,943,0.938,space opera,50342,Solo: A Star Wars Story (2018),Action|Adventure|Children|Sci-Fi,3778644,348350.0,1508,3.389588859416446,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
4581,1981,5168,5781,905,0.9775,sex,5669,Private Lessons (1981),Comedy,82948,41280.0,74,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11442,2011,13293,174487,827,0.902,puppets,44564,"Don't Hug Me, I'm Scared (2011)",Animation|Fantasy|Horror,2501618,127144.0,91,3.6538461538461537,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
8359,2009,9886,70344,18,0.89675,absurd,13580,Cold Souls (2009),Comedy|Drama,1127877,30250.0,167,3.2964071856287425,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5306,1969,6044,6893,498,0.99525,heist,6770,"Italian Job, The (1969)",Action|Comedy|Crime,64505,10536.0,2212,3.6301989150090415,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
11337,1981,13186,170597,869,0.9855,russian,42756,A Plasticine Crow (1981),Animation,219251,129229.0,50,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11781,2018,13639,192307,19,0.754,action,52351,The Meg (2018),Action|Horror|Sci-Fi|Thriller,4779682,345940.0,405,2.78641975308642,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3
10338,2014,12175,127319,1051,0.9565,twists & turns,26090,The Loft (2014),Thriller,1850397,72784.0,180,3.1444444444444444,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
8379,2008,9908,70726,971,0.805,story,13647,Adoration (2008),Drama,1074929,8895.0,45,2.966666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2821,1984,3157,3525,230,0.9505,comedy,3427,Bachelor Party (1984),Comedy,86927,12309.0,1851,3.0502431118314424,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4230,2002,4750,5282,598,0.99375,lawyers,5174,High Crimes (2002),Thriller,257756,11560.0,877,3.185290763968073,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
10836,2005,12679,146329,107,0.99025,based on a book,33286,The Master and Margarita (2005),Drama|Mystery|Romance,403783,51129.0,59,3.6186440677966094,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
7838,2008,9256,58293,377,0.962,fantasy,12177,"10,000 BC (2008)",Adventure|Romance|Thriller,443649,7840.0,2532,2.531200631911533,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
4414,2002,4965,5523,890,0.99025,scifi,5415,"Adventures of Pluto Nash, The (2002)",Action|Adventure|Comedy|Sci-Fi,180052,11692.0,764,2.042539267015707,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3
9399,2011,11132,96700,679,0.956,multiple storylines,18445,360 (2011),Drama,1680045,89455.0,68,3.1544117647058822,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2140,1956,2384,2667,890,0.95025,scifi,2575,"Mole People, The (1956)",Horror|Sci-Fi,49516,41516.0,218,2.628440366972477,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
1328,1993,1497,1678,670,0.97675,mother daughter relationship,1616,"Joy Luck Club, The (1993)",Drama|Romance,107282,19931.0,4064,3.7102608267716537,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4251,1987,4773,5306,927,0.9965,slasher,5198,Return to Horror High (1987),Horror,93854,45878.0,65,2.0615384615384613,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
8314,1989,9836,69524,29,0.93575,adventure,13454,Raiders of the Lost Ark: The Adaptation (1989),Action|Adventure|Thriller,772251,62128.0,1197,3.979949874686717,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
4499,1981,5069,5655,733,0.99675,obsession,5544,"Fan, The (1981)",Drama|Thriller,82362,74899.0,152,2.694078947368421,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
3472,1955,3884,4324,1023,0.9975,texas,4219,"Kentuckian, The (1955)",Drama|Western,48248,66035.0,60,3.158333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
4484,2002,5050,5633,613,0.9045,love,5523,Heaven (2002),Drama,246677,10575.0,518,3.588803088803089,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6339,1964,7336,26124,630,0.9935,mars,8592,Robinson Crusoe on Mars (1964),Sci-Fi,58530,7348.0,123,3.044715447154472,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
5040,2003,5727,6493,865,0.97325,romantic comedy,6370,Alex and Emma (2003),Comedy|Drama|Romance,318283,17813.0,587,2.6831345826235093,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6754,2005,7940,32296,902,0.9785,sequels,9718,Miss Congeniality 2: Armed and Fabulous (2005),Adventure|Comedy|Crime,385307,10040.0,1618,2.5791100123609394,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
5158,1990,5867,6671,1122,0.97125,writer's life,6548,"Angel at My Table, An (1990)",Drama,99040,2891.0,199,3.721105527638191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5798,1991,6655,7930,522,0.9355,horror,7540,"People Under the Stairs, The (1991)",Horror|Mystery|Thriller,105121,13122.0,305,3.039344262295082,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3
7617,2007,8991,53996,437,0.994,giant robots,11695,Transformers (2007),Action|Sci-Fi|Thriller|IMAX,418279,1858.0,9943,3.0907170873981697,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,3
6975,2004,8218,38198,34,0.9845,africa,10280,Darwin's Nightmare (2004),Documentary,424024,10700.0,99,3.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
5198,1976,5916,6741,300,0.9305,detective,6618,God told Me To (1976),Crime|Horror|Mystery|Sci-Fi|Thriller,75930,31579.0,85,2.976470588235294,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3
3035,2000,3400,3794,540,0.97925,independent film,3693,Chuck & Buck (2000),Comedy|Drama,200530,44490.0,763,3.247051114023591,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1652,1992,1845,2084,686,0.94975,musical,1995,Newsies (1992),Children|Musical,104990,15300.0,1009,3.1878097125867195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
2661,1999,2985,3328,510,0.9885,hit men,3235,Ghost Dog: The Way of the Samurai (1999),Crime|Drama,165798,4816.0,4438,3.7329878323569177,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
1529,1971,1715,1953,751,0.98925,oscar (best editing),1864,"French Connection, The (1971)",Action|Crime|Thriller,67116,1051.0,8571,3.940030334850076,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
4809,1982,5449,6148,316,0.9855,dog,6036,White Dog (1982),Drama|Horror|Thriller,84899,47955.0,143,3.4125874125874125,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
11742,2018,13599,189783,742,0.825,original,51285,Christopher Robin (2018),Adventure|Animation|Comedy,4575576,420814.0,309,3.4757281553398056,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1789,1990,1998,2250,323,0.83275,drama,2159,Men Don't Leave (1990),Drama,100134,91217.0,360,3.245833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3749,1989,4196,4662,230,0.93075,comedy,4557,"See No Evil, Hear No Evil (1989)",Comedy|Crime,98282,11185.0,878,3.206150341685649,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
