,year,Unnamed: 0.1,movieId,tagId,relevance,tag,Unnamed: 0,title,genres,imdbId,tmdbId,number of ratings,rating,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,(no genres listed),class
0,1995,0,1,1036,0.99925,toys,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,57309,3.893707794587238,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1995,1,2,29,0.976,adventure,1,Jumanji (1995),Adventure|Children|Fantasy,113497,8844.0,24228,3.2515271586594023,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,1995,2,3,901,0.97525,sequel,2,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,11804,3.142028126058963,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,1995,3,4,1116,0.97525,women,3,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,2523,2.85354736424891,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,1995,4,5,901,0.96025,sequel,4,Father of the Bride Part II (1995),Comedy,113041,11862.0,11714,3.058434352057368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,1995,5,6,268,0.97975,crime,5,Heat (1995),Action|Crime|Thriller,113277,949.0,24588,3.854908898649748,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
6,1995,6,7,849,0.98125,remake,6,Sabrina (1995),Comedy|Romance,114319,11860.0,12132,3.3636663369601054,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,1995,7,8,107,0.9295,based on a book,7,Tom and Huck (1995),Adventure|Children,112302,45325.0,1344,3.114583333333333,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,1995,8,9,19,0.977,action,8,Sudden Death (1995),Action,114576,9091.0,3711,2.992050660199407,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
9,1995,9,10,2,1.0,007 (series),9,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,28265,3.42145763311516,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
10,1995,10,11,811,0.99675,president,10,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,17042,3.657170519892032,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,1995,11,12,958,0.99275,spoof,11,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,3741,2.6245656241646618,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
12,1995,12,13,64,0.992,animation,12,Balto (1995),Adventure|Animation|Children,112453,21032.0,1715,3.333527696793003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
